headline,source,intro,date,datetime
Core inflation in Japan's capital stays above BOJ target in July,Reuters,"Core consumer inflation in Japan's capital slowed in July but stayed well above the central bank's 2% target in July, data showed on Friday, adding to...",1 week ago,2025-08-10
US trade deal is positive for Bank of Japan’s interest rate plans,Financial Times,BoJ has a better chance of raising rates this year after Tokyo agrees deal with Washington that will mean lower tariffs.,1 week ago,2025-08-10
The US-Japan tariff agreement has been finalized ahead of schedule! Expectations for a Bank of Japan interest rate hike are increasing: 80% of economists predict action before January next year.,富途牛牛,Observersof the Bank of Japan generally expect the authorities to raise the benchmark interest rate in October or January.,1 week ago,2025-08-10
"BOJ to hike rates this year despite uncertainties, economists predict: Reuters poll",Reuters,"The Bank of Japan will raise its key interest rate by at least 25 basis points by year-end, a majority of economists said in a Reuters poll, although that...",2 weeks ago,2025-08-03
BOJ’s Uchida signals caution on interest rate hikes amid US-Japan trade progress,Investing.com,"Investing.com-- Bank of Japan Deputy Governor Shinichi Uchida signaled that the central bank remained cautious on hiking interest rates further,...",2 weeks ago,2025-08-03
Japan Carmakers Put Squeeze on Households With Higher Loan Rates,Bloomberg,Japan's automakers have begun hiking loan rates as a historic central bank pivot to unwind three decades of ultra-loose monetary policy trickles down to...,2 weeks ago,2025-08-03
"Week Ahead: Japan Election, ECB Interest Rate Decision, Powell’s Speech",Markets.com,Fed Chair Powell's speech on July 22 at 12:30 GMT will likely focus on his assessment of the current U.S. economy and the Fed's near-term policy outlook.,2 weeks ago,2025-08-03
Japan’s Inflation Battle Heats Up: Will the Bank of Japan Raise Rates Again Impacting Tourism? Find Out Now!,Travel And Tour World,"In June, Japan witnessed a slowdown in its core inflation rate, a development attributed to temporary cuts in utility bills. However, inflation remained...",2 weeks ago,2025-08-03
"Public Debt, Japan, And Wilful Blindness",Scoop - New Zealand News,"Despite its high government debt – actually, to a large extent because of its high government debt – Japan's is a creditor economy. Japan is not in debt to...",3 weeks ago,2025-07-27
Japan's June core inflation likely slowed as tariff threats loom: Reuters poll,Reuters,"Japan's June core inflation likely slowed but remained above the central bank's 2% target, a Reuters poll showed, keeping it under pressure to resume...",3 weeks ago,2025-07-27
"BOJ will hold off rate hikes until March due to US tariff hit, ex-policymaker says",The Business Times,[TOKYO] The Bank of Japan will likely hold off raising interest rates again until at least next March to assess the damage that US tariffs could inflict on...,3 weeks ago,2025-07-27
"Japan's wholesale inflation slows, relieves interest rate-hike pressure",Reuters,"The interest rate-hike outlook, however, is clouded by uncertainty over U.S. trade policy following President Donald Trump's latest threat to raise tariffs on...",3 weeks ago,2025-07-27
Meiji Yasuda Life to shun superlong Japanese debt for year or more,The Japan Times,Meiji Yasuda Life Insurance plans to avoid actively investing in Japanese superlong-term government bonds for the next one to two years as interest rates...,4 weeks ago,2025-07-20
Meiji Yasuda Life to Shun Super-Long Japan Debt for Year or More,Bloomberg.com,Meiji Yasuda Life Insurance Co. plans to avoid actively investing in Japanese super-long-term government bonds for the next 1-2 years as interest rates may...,4 weeks ago,2025-07-20
While major central banks are holding steady or lowering rates the Bank of Japan is considering raising interest rates,المتداول العربي,"Current estimates show that the U.S. Federal Reserve is heading towards a rate cut of 53 basis points by the end of 2025, while the likelihood of keeping rates...",4 weeks ago,2025-07-20
"Trump's tariffs strike heavily against Japan, and the Bank of Japan's interest rate hike seems unlikely in the near future?",富途牛牛,"ShigeruIshiba stated that negotiations with the U.S. will continue to seek a mutually beneficial trade agreement, but polls indicate that Japan's ruling...",4 weeks ago,2025-07-20
"Japan's inflation is outpacing BOJ's view, expert says",The Japan Times,"The remarks of Tsutomu Watanabe, a former central bank official, are likely to feed market expectations for another interest rate hike this year.",1 month ago,2025-07-18
BOJ official says rate hike in 'pause mode' due to U.S. tariffs,朝日新聞,"The Bank of Japan will hold off on interest rate hikes while it closely monitors developments in the United States, a BOJ Policy Board member said on July 3.",1 month ago,2025-07-18
"BOJ Should Stand Ready to Hike Rates, Board Member Takata Says",MSN,"The Bank of Japan should be ready to resume policy tightening if U.S. trade talks progress, policy board member Hajime Takata said.",1 month ago,2025-07-18
Japan boosts banks by ending its negative interest rate environment,TheBanker.com,"Sumitomo Mitsui Financial Group holds on to second in the Japanese bank ranking and climbed from 23rd to 21st in the Top 1000, helped by a 0.8 per cent increase...",1 month ago,2025-07-18
New BOJ board member warns against rushing into rate hikes,朝日新聞,"The Bank of Japan should not rush into raising interest rates given various economic risks, its new board member Kazuyuki Masu said on Tuesday.",1 month ago,2025-07-18
"Bank of Japan Pauses Rate Hikes, Eyes U.S. Policy Changes",AInvest,"On Thursday, a member of the Bank of Japan's Policy Board announced that the central bank is currently in a phase where it can pause interest rate hikes.",1 month ago,2025-07-18
BOJ policymaker calls for resuming rate hikes after temporary pause,Reuters,"The Bank of Japan should resume interest rate hikes following a temporary pause to evaluate the impact of U.S. tariffs, board member Hajime Takata said,...",1 month ago,2025-07-18
Japan’s yen is a compelling trade but comes at a cost,Reuters,"Global investors are unwinding their wagers on Japan's yen rising quickly as a cautious central bank, a trade war and the prohibitive cost of holding the...",1 month ago,2025-07-18
"Bank of Japan’s Key Rate Is Below Neutral, Says Gov. Kazuo Ueda",The Wall Street Journal,"Meanwhile, Bank of England Gov. Andrew Bailey says that the 'direction of interest rates continues to be downwards'",1 month ago,2025-07-18
Japan - The Land of the Rising Yields,ABN AMRO,We expect drags from US tariffs to keep a lid on Japanese growth. Trade talks with the US are taking quite some time. The Bank of Japan (BoJ) recently...,1 month ago,2025-07-18
"Japanese loan rate hits record 2%, still remains cheaper than others",The Business Standard,"The loan agreement, signed on 27 June, secures $630 million in financing from Japan, according to a press release from the Economic Relations Division.",1 month ago,2025-07-18
Rising Japanese Government Bond Yields,TradingView,"IntroductionThe Japanese economy, long known for its extremely loose monetary policy, is finally moving toward normalization, a shift that is reshaping the...",1 month ago,2025-07-18
Japan - The Land of the Rising Yields,ABN AMRO,We expect drags from US tariffs to keep a lid on Japanese growth. Trade talks with the US are taking quite some time. The Bank of Japan (BoJ) recently...,1 month ago,2025-07-18
"Japanese loan rate hits record 2%, still remains cheaper than others",The Business Standard,"The loan agreement, signed on 27 June, secures $630 million in financing from Japan, according to a press release from the Economic Relations Division.",1 month ago,2025-07-18
Rising Japanese Government Bond Yields,TradingView,"IntroductionThe Japanese economy, long known for its extremely loose monetary policy, is finally moving toward normalization, a shift that is reshaping the...",1 month ago,2025-07-18
Core inflation in Japan's capital slows but stays above BOJ target,Reuters,"Core consumer inflation in Japan's capital slowed sharply in June due to temporary cuts to utility bills but stayed well above the central bank's 2% target,...",1 month ago,2025-07-18
"Bank of Japan board divided over rate pause and inflation risks, June summary shows",The Business Times,[TOKYO] Some Bank of Japan (BBOJ) policymakers called for keeping interest rates steady for the time being due to uncertainty over the impact of US tariffs...,1 month ago,2025-07-18
BOJ may act to counter high prices despite uncertainty: board member,毎日新聞,"TOKYO (Kyodo) -- The Bank of Japan may further raise interest rates to counter the risk of elevated prices, despite the uncertainty created by U.S. ta.",1 month ago,2025-07-18
"Japan's inflation has been above target for over 3 years, but where is the BOJ?",CNBC,"Major central banks hiked their policy rates in the face of surging inflation, but the Bank of Japan has been an outlier. Food inflation, especially rice...",1 month ago,2025-07-18
The Japan Shock: How the World’s Biggest Creditor Could Impact US Markets,Investing.com,"Japan holds over $3 trillion in net foreign assets and is the top holder of US Treasuries, over $1 trillion as of 2025.",1 month ago,2025-07-18
Bank of Japan rate increase this year is more likely than not,Financial Times,"Since our May scenario, the Bank of Japan held the policy rate at the current level of 0.5 per cent at its most recent meeting in June.",1 month ago,2025-07-18
Charting the Global Economy: Key Central Banks Hold on Rates,Bloomberg.com,"Central bankers in the US, UK and Japan held the line on interest rates this week as officials attempt to gauge the impact of tariffs, uncertainty about...",1 month ago,2025-07-18
Japan’s debts are shrinking. Its troubles may be only starting,The Economist,Politicians have a yen for handouts | Finance & economics.,1 month ago,2025-07-18
Bank of Japan’s gloomy projections suggest no rate hike this year: ex-top economist,The Business Times,"[TOKYO] The Bank of Japan is likely to hold off raising interest rates this year unless a dramatic, positive turn of events in US tariffs allows it to...",1 month ago,2025-07-18
Japan’s government bonds: this time it won’t end well,The Economist,"Even as interest costs mount, politicians promise handouts | Leaders.",1 month ago,2025-07-18
Bank of Japan keeps rate unchanged,Xinhua,The Bank of Japan (BOJ) said on Tuesday that it will reduce government bond purchases at a slower pace starting from April 2026 while leaving the short-term...,1 month ago,2025-07-18
"Bank of Japan maintains interest rates, slows bond tapering plan for next year",The Globe and Mail,"In a widely expected move, Japan's central bank maintained short-term interest rates at 0.5 per cent.",1 month ago,2025-07-18
"BOJ keeps rates steady, slows bond taper, what it means for Japan economy?",WION,"The Bank of Japan (BOJ) is slowing its balance sheet drawdown, maintaining interest rates at 0.5% and reducing Japanese Government Bond (JGB) purchases.",1 month ago,2025-07-18
Bank of Japan to consider slower bond taper as fresh global risks emerge,The Business Times,[TOKYO] The Bank of Japan (BOJ) will consider slowing reductions in its bond purchases next year under a quantitative tightening (QT) plan due on Tuesday...,1 month ago,2025-07-18
Bank of Japan keeps key interest rate steady,Fibre2Fashion,The Bank of Japan kept its key interest rate unchanged today due to economic uncertainties arising out to US trade policy. It also unveiled plans to slow the...,1 month ago,2025-07-18
BOJ Keeps Interest Rate Target Unchanged at around 0.5 ％,The Japan News,The Bank of Japan decided to hold its interest rate target steady at a two-day monetary policy meeting that ended on Tuesday.,1 month ago,2025-07-18
Bank of Japan holds interest rate at 0.5%,Capital Brief,"The Bank of Japan has kept the cash rate steady at 0.5%, meeting market expectations, and announced it would slow the pace of its cutback on bond-buying after...",1 month ago,2025-07-18
BOJ Keeps Interest Rate Target Unchanged at around 0.5 ％,The Japan News,The Bank of Japan decided to hold its interest rate target steady at a two-day monetary policy meeting that ended on Tuesday.,1 month ago,2025-07-18
Bank of Japan holds interest rate at 0.5%,Capital Brief,"The Bank of Japan has kept the cash rate steady at 0.5%, meeting market expectations, and announced it would slow the pace of its cutback on bond-buying after...",1 month ago,2025-07-18
"Bank of Japan holds rates, will slow bond purchase taper",KNDU,"The Bank of Japan kept interest rates unchanged Tuesday and said it would taper its purchase of government bonds at a slower pace, as trade uncertainty...",1 month ago,2025-07-18
"Dollar rises, yen steady ahead of BOJ rate decision",The Economic Times,The dollar saw a slight increase amidst Middle East tensions. Investors are keenly awaiting central bank decisions. Bank of Japan is expected to maintain...,1 month ago,2025-07-18
"Bank of Japan maintains interest rates, slows bond tapering plan for next year",The Globe and Mail,"In a widely expected move, Japan's central bank maintained short-term interest rates at 0.5 per cent.",1 month ago,2025-07-18
BOJ to slow JGB purchase tapering as Ueda stresses 'market stability',Nikkei Asia,The Bank of Japan on Tuesday said it will slow down its tapering of government bond purchases and also announced that it will hold its key interest rate steady.,1 month ago,2025-07-18
BOJ to slow pace of bond taper next year as fresh risks emerge,The Business Times,The Bank of Japan kept interest rates steady on Tuesday and decided to decelerate the pace of its balance sheet drawdown next year.,1 month ago,2025-07-18
"Bank of Japan holds rates, says to slow bond purchase taper",Inquirer.net,The Bank of Japan kept interest rates unchanged Tuesday and said it would taper its purchase of government bonds at a slower pace.,1 month ago,2025-07-18
Yen Recovers Slightly After BoJ Interest Rate Decision,RTTNews,"The Japanese yen recovered slightly from recent lows against other major currencies in the Asian session on Tuesday, after the Bank of Japan decided to...",1 month ago,2025-07-18
"BOJ keeps rates steady, slows bond taper, what it means for Japan economy?",WION,"The Bank of Japan (BOJ) is slowing its balance sheet drawdown, maintaining interest rates at 0.5% and reducing Japanese Government Bond (JGB) purchases.",1 month ago,2025-07-18
EUR/JPY holds position near 167.50 after BoJ interest rate decision,FXStreet,The currency pair holds ground after the Bank of Japan (BoJ) decided to keep the short-term interest rate target unchanged in the range of 0.4%- 0.5% in June.,1 month ago,2025-07-18
Bank of Japan leaves rates unchanged; slows bond sales,FocusEconomics,"The Bank of Japan (BOJ) decided to keep its policy rate at 0.50%, extending the pause in its hiking cycle from subzero rates that began just over a year ago.",1 month ago,2025-07-18
Bank of Japan to slow cuts to government bond purchases from April next year as growth risks loom,CNBC,"Japan's central bank on Tuesday said it would slow the cuts to government bond purchases from April next year, while it also held the benchmark rate at 0.5%...",1 month ago,2025-07-18
Yen slides ahead of Bank of Japan policy decision,Yahoo,"The yen fell against the dollar ahead of a Bank of Japan decision Tuesday, with officials expected to hold interest rates steady but tweak their bond...",1 month ago,2025-07-18
BOJ keeps rate target unchanged at around 0.5% | NHK WORLD-JAPAN News,NHK,The Bank of Japan has decided to keep its benchmark interest-rate unchanged. The central bank target of around 0.5 percent for short-term rates will remain in...,1 month ago,2025-07-18
"BOJ leaves interest rates unchanged, to slow bond tapering from 2026",Investing.com,"The Bank of Japan left interest rates unchanged as widely expected on Tuesday, and stated that it will reduce the pace at which it is tapering its monthly bond...",1 month ago,2025-07-18
Bank of Japan to weigh slowdown in bond buying cuts after volatility rises,The Business Times,[TOKYO] The Bank of Japan (BOJ) is set to consider whether to taper its bond purchases at a slower pace while also leaving its benchmark interest rate...,1 month ago,2025-07-18
Investors react to BOJ decision to stand pat on interest rates,Reuters,"The Bank of Japan kept its interest rates steady on Tuesday and said it would slow the pace of reduction in its bond purchases next year, signalling a...",1 month ago,2025-07-18
All three countries are expected to freeze their key interest rates on trade pressure and geopolitic..,매일경제,"According to the financial investment industry on the 16th, the Bank of Japan (BOJ) will hold a financial policy decision meeting on the 17th to determine...",1 month ago,2025-07-18
USD/JPY steady as traders eye BoJ interest rate decision,FXStreet,The Japanese Yen (JPY) is treading water against the US Dollar (USD) on Monday as traders sit on the sidelines ahead of the Bank of Japan's (BoJ) policy...,1 month ago,2025-07-18
"Japan Weekahead: Bank of Japan Set to Keep 0.5% Policy Rate, Focus on Possible Moderation in FY26 Balance Sheet Trim; Exports Hit by Trump Tariffs",TradingView,The board is widely expected to vote unanimously to maintain the target for the overnight interest rate at 0.5% for the third straight meeting.,1 month ago,2025-07-18
BOJ is said to see inflation running stronger than expected,The Japan Times,"Bank of Japan officials see prices rising a little stronger than they expected earlier in the year, a factor that may open the door to discussions over...",1 month ago,2025-07-18
Week Ahead Economic Preview: Week of 16 June 2025,S&P Global,"Central bank meetings will be in abundance in the coming week, including in the US, UK and Japan, while inflation figures in the UK and Japan will be...",1 month ago,2025-07-18
Japan’s Largest Companies 2025: Rare Interest Rate Hikes Lead To A Volatile Year For Japanese Firms On The Global 2000,Forbes,"Japan has 180 companies on this year's Forbes Global 2000 ranking of the world's largest public corporations, down slightly from 182 in 2024.",1 month ago,2025-07-18
"BOJ set to keep policy rate unchanged, will gauge US tariff impact",毎日新聞,TOKYO (Kyodo) -- The Bank of Japan is expected to leave interest rates unchanged at its policy meeting next week as it gauges the impact of higher U.S.,1 month ago,2025-07-18
Bank of Japan pivot to QE may fuel Bitcoin rally — Arthur Hayes,Cointelegraph,"The BoJ may pivot to quantitative easing during the next interest rate meeting in June, providing the next catalyst for Bitcoin and risk assets,...",1 month ago,2025-07-18
Bank of Japan vows to keep raising rates if underlying inflation accelerates,The Business Times,[TOKYO] Bank of Japan (BOJ) governor Kazuo Ueda on Tuesday (Jun 10) stressed anew the central bank's readiness to keep raising interest rates if underlying...,1 month ago,2025-07-18
Japan is moving into a phase where rising interest rates is a trend - Ishiba,investingLive,"Japan is moving into a phase where rising interest rates is a trend - Ishiba ... It's more so a case over the past year I would say. Right now, the BOJ is finding...",8 Jun 2025,2025-06-08
Bank of Japan should continue to tighten policy: US,Taipei Times,WEAK YEN: The Japanese central bank ended its massive monetary stimulus last year and in January it raised its short-term interest rates to 0.5 percent.,7 Jun 2025,2025-06-07
Yen Anticipated to Appreciate Against the U.S. Dollar by Year-End - News and Statistics,IndexBox,"The yen is projected to appreciate against the dollar by year-end, driven by interest rate dynamics between Japan and the U.S., and potential BOJ rate...",6 Jun 2025,2025-06-06
BOJ Is Said to See Inflation Running Stronger Than Expected,Financial Post,"Bank of Japan officials see prices rising a little stronger than they expected earlier in the year, a factor that may open the door to discussions over...",1 month ago,2025-07-18
Japan’s Largest Companies 2025: Rare Interest Rate Hikes Lead To A Volatile Year For Japanese Firms On The Global 2000,Forbes,"Japan has 180 companies on this year's Forbes Global 2000 ranking of the world's largest public corporations, down slightly from 182 in 2024.",1 month ago,2025-07-18
"BOJ set to keep policy rate unchanged, will gauge US tariff impact",毎日新聞,TOKYO (Kyodo) -- The Bank of Japan is expected to leave interest rates unchanged at its policy meeting next week as it gauges the impact of higher U.S.,1 month ago,2025-07-18
Bank of Japan pivot to QE may fuel Bitcoin rally — Arthur Hayes,Cointelegraph,"The BoJ may pivot to quantitative easing during the next interest rate meeting in June, providing the next catalyst for Bitcoin and risk assets,...",1 month ago,2025-07-18
Bank of Japan vows to keep raising rates if underlying inflation accelerates,The Business Times,[TOKYO] Bank of Japan (BOJ) governor Kazuo Ueda on Tuesday (Jun 10) stressed anew the central bank's readiness to keep raising interest rates if underlying...,1 month ago,2025-07-18
"Japan to consider buying back some super-long government bonds, sources say",Reuters,"Japan is considering buying back some super-long government bonds issued in the past at low interest rates, two sources with direct knowledge of the plan...",1 month ago,2025-07-18
Japan is moving into a phase where rising interest rates is a trend - Ishiba,investingLive,"Japan is moving into a phase where rising interest rates is a trend - Ishiba ... It's more so a case over the past year I would say. Right now, the BOJ is finding...",8 Jun 2025,2025-06-08
"Rising rates could affect Japan's spending plans, PM Ishiba says",Reuters,"Japan must be aware that rising interest rates would push up the government's debt-financing costs and affect its spending plans, Prime Minister Shigeru...",8 Jun 2025,2025-06-08
Bank of Japan should continue to tighten policy: US,Taipei Times,WEAK YEN: The Japanese central bank ended its massive monetary stimulus last year and in January it raised its short-term interest rates to 0.5 percent.,7 Jun 2025,2025-06-07
Yen Anticipated to Appreciate Against the U.S. Dollar by Year-End - News and Statistics,IndexBox,"The yen is projected to appreciate against the dollar by year-end, driven by interest rate dynamics between Japan and the U.S., and potential BOJ rate...",6 Jun 2025,2025-06-06
BOJ braces for higher interest rates with provisions boost,Nikkei Asia,"The Bank of Japan has set aside the maximum provisions for losses on bond transactions, in a sign of how the central bank is preparing for rising interest...",2 Jun 2025,2025-06-02
Bank of Japan sets aside maximum provision of losses for bond transactions,The Business Times,"The moves come as the Japanese central bank faces mounting pressure to keep hiking borrowing costs, after it kept short-term interest rates steady in its...",2 Jun 2025,2025-06-02
Bank of Japan rate hike odds rise with strong inflationary pressures,ING Think,"Tokyo consumer price index (CPI) inflation stayed at 3.4% year-on-year in May, in line with market consensus. Yet core inflation, excluding fresh food,...",30 May 2025,2025-05-30
"Core inflation in Japan capital hits 2-year high, keeps rate hike chance alive",Reuters,"Core inflation in Japan's capital hit a more than two-year high on persistent rises in food costs, data showed on Friday, keeping the central bank under...",29 May 2025,2025-05-29
Fiscal Headaches Mount Despite End of Negative Interest Rates,nippon.com,"A year has passed since the March 2024 decision by the Bank of Japan to end its negative interest rate policy. As Japan returns to positive rate territory,...",29 May 2025,2025-05-29
Japan's interest rate hike threatens to increase living costs for New Yorkers - CHOSUNBIZ,Chosun Biz,"In reality, major investors in the U.S. Government Bonds market, such as Japan and China, have been continuously reducing their holdings since 2008. The...",29 May 2025,2025-05-29
"Core inflation in Japan capital hits 3.6%, keeps BOJ rate-hike chance alive",WKZO,"By Leika Kihara TOKYO (Reuters) -Core inflation in Japan's capital hit 3.6% in the year to May, data showed on Friday, marking a more than two-year high in...",29 May 2025,2025-05-29
"Japan’s Debt, Now Twice the Size of Its Economy, Forces Hard Choices",The New York Times,Japan's government faces pressure to curtail debt-fueled spending that some argue has staved off populist waves.,28 May 2025,2025-05-28
"Kazuo Ueda, president of the Bank of Japan (BOJ), said on the 27th, ""Japan's inflation rate is curre..",매일경제,"Kazuo Ueda, president of the Bank of Japan (BOJ), said on the 27th, ""Japan's inflation rate is currently 1.5 to 2.0%, the highest level in the past 30 years...",27 May 2025,2025-05-27
Yen rises as Ueda indicates BOJ is still eyeing more rate hikes,The Japan Times,Bank of Japan Gov. Kazuo Ueda has given the yen a boost by clearly indicating his intention to continue raising the benchmark interest rate if the economy...,27 May 2025,2025-05-27
The interest rate on Japan's long-term government bonds is soaring to an all-time high. Ahead of the..,매일경제,"Interest rates on 20-year government bonds in the Japanese bond market once rose to 2.58 percent per annum, the highest in 25 years since October 2000.",21 May 2025,2025-05-21
Project Finance Laws and Regulations Report 2025 Japan,ICLG.com,"This article dives into project finance laws in Japan, discussing security, bankruptcy and restructuring, force majeure, jurisdiction, waiver of immunity...",20 May 2025,2025-05-20
Bank of Japan on hold until tariff and trade outlook becomes clearer,Financial Times,"The Bank of Japan held a policy meeting at the start of May, which showed little urgency to raise interest rates from their current level of 0.5 per cent.",20 May 2025,2025-05-20
Bank of Japan may hike rates if inflation nears 2%: official,Tech in Asia,The central bank may raise interest rates if economic growth increases and inflation approaches the 2% target.,19 May 2025,2025-05-19
Japan’s Debt Dilemma: PM Shigeru Ishiba Says Nation’s Finances Worse Than Greece’s - History Repeats?,ET Now,"History Repeats? This isn't the first time Japan has sounded alarm bells. Back in 2010, then-Prime Minister Naoto Kan warned that Japan's finances could...",19 May 2025,2025-05-19
Japan's 3 megabanks report record net profit for fiscal 2024 | Nippon TV NEWS 24 JAPAN,日本テレビ,Japan's three megabanks each reported a record net profit for fiscal 2024 that ended in March this year as their core banking business performed well.,16 May 2025,2025-05-16
"Interest-rate differentials, flows to Japan show dollar still looks vulnerable",MarketWatch,"A report from Apollo's chief economist, Torsten Slok argues that interest-rate differentials in favor of the dollar against the euro should really be driving...",15 May 2025,2025-05-15
Sumitomo Mitsui braces for tariff fallout with more buffers,The Japan Times,Japan's second-largest lender expects net income to climb about 10% to ¥1.3 trillion in the year that started in April.,15 May 2025,2025-05-15
Bank of Japan rate-hike odds rebound on US-China tariff progress,Nikkei Asia,TOKYO -- The recent agreement by the U.S. and China to slash tariffs has revived speculation about the Bank of Japan raising interest rates past 0.5%,14 May 2025,2025-05-14
Bank of Japan Maintains Stance on Rate Hike Due to Wage and Price Pressures,bloomingbit,The Bank of Japan (BOJ) announced on the 13th (local time) that it will maintain its stance on raising interest rates as Japan's wages and prices are expected...,13 May 2025,2025-05-13
Bank of Japan rate-hike odds rebound on US-China tariff progress,Nikkei Asia,TOKYO -- The recent agreement by the U.S. and China to slash tariffs has revived speculation about the Bank of Japan raising interest rates past 0.5%,14 May 2025,2025-05-14
Bank of Japan Maintains Stance on Rate Hike Due to Wage and Price Pressures,bloomingbit,The Bank of Japan (BOJ) announced on the 13th (local time) that it will maintain its stance on raising interest rates as Japan's wages and prices are expected...,13 May 2025,2025-05-13
"Bank of Japan upbeat on wages despite US tariffs, sees scope to resume rate hikes",The Business Times,"It will continue to raise interest rates if the economy and prices improve after a period of stagnation, the bank's deputy governor says. play icon.",13 May 2025,2025-05-13
Taper Watch: BOJ eyes bond market liquidity,The Economic Times,"Some members of the Bank of Japan board indicated that there is room to resume interest rate hikes after a temporary pause, especially if the situation...",13 May 2025,2025-05-13
"Bank of Japan decides to raise interest rates, even amid Trump uncertainty",Cryptopolitan,"Katsunobu said, “I'm making preparations to attend the meetings of G7 finance leaders in Canada next week. If circumstances allow, I'd like to use this...",13 May 2025,2025-05-13
Japan's top banks set to report record profits but face tariff stress test,Nikkei Asia,"TOKYO -- Japan's top three banks are set to report combined net profit of roughly 3.9 trillion yen ($26.3 billion) for the year ended March, a 25% gai.",13 May 2025,2025-05-13
Projected Japan Interest Rate in 5 Years | What Will Be Japan Interest Rates in 5 Years,Capital.com,Analysts believe the Bank of Japan is unlikely to increase its ultra-loose policy rate until Governor Kuroda's term expires in the first quarter of 2023.,6 May 2025,2025-05-06
Charted: Real Interest Rates by Country in 2025,Visual Capitalist,"This infographic shows real interest rates for 16 major economies in 2025, highlighting the current state of monetary policies.",6 May 2025,2025-05-06
Bank of Japan sees window for rate hikes narrowing but not closed yet,The Business Times,"[TOKYO] The Bank of Japan's (BOJ's) rate-hike cycle is facing its biggest test since Governor Kazuo Ueda took the helm two years ago, with US President...",5 May 2025,2025-05-05
"Bank of Japan (BOJ) maintains rates at 0.5 percent, revises growth forecasts for 2025 and 2026",Economy Middle East,"The Bank of Japan (BOJ) announced that it would keep its short-term interest rates steady at 0.5 percent, a decision made unanimously by its board members.",1 May 2025,2025-05-01
Bank of Japan Maintains Stance on Rate Hike Due to Wage and Price Pressures,bloomingbit,The Bank of Japan (BOJ) announced on the 13th (local time) that it will maintain its stance on raising interest rates as Japan's wages and prices are expected...,13 May 2025,2025-05-13
"Bank of Japan upbeat on wages despite US tariffs, sees scope to resume rate hikes",The Business Times,"It will continue to raise interest rates if the economy and prices improve after a period of stagnation, the bank's deputy governor says. play icon.",13 May 2025,2025-05-13
Taper Watch: BOJ eyes bond market liquidity,The Economic Times,"Some members of the Bank of Japan board indicated that there is room to resume interest rate hikes after a temporary pause, especially if the situation...",13 May 2025,2025-05-13
Japan's top banks set to report record profits but face tariff stress test,Nikkei Asia,"TOKYO -- Japan's top three banks are set to report combined net profit of roughly 3.9 trillion yen ($26.3 billion) for the year ended March, a 25% gai.",13 May 2025,2025-05-13
Projected Japan Interest Rate in 5 Years | What Will Be Japan Interest Rates in 5 Years,Capital.com,Analysts believe the Bank of Japan is unlikely to increase its ultra-loose policy rate until Governor Kuroda's term expires in the first quarter of 2023.,6 May 2025,2025-05-06
Charted: Real Interest Rates by Country in 2025,Visual Capitalist,"This infographic shows real interest rates for 16 major economies in 2025, highlighting the current state of monetary policies.",6 May 2025,2025-05-06
BoJ hike delay a bellwether of bad weather?,UBS,"Despite being at the head of the queue for tariff deals, Japan does not seem near to securing one just yet. Wariness over economic growth uncertainties in...",6 May 2025,2025-05-06
BOJ Monetary Policy: Rate Hike Scenario needs to be Reexamined,The Japan News,"The Bank of Japan needs to flexibly revise its rate hike scenario. At its latest Monetary Policy Meeting, the central bank decided to keep the policy rate at...",6 May 2025,2025-05-06
Bank of Japan sees window for rate hikes narrowing but not closed yet,The Business Times,"[TOKYO] The Bank of Japan's (BOJ's) rate-hike cycle is facing its biggest test since Governor Kazuo Ueda took the helm two years ago, with US President...",5 May 2025,2025-05-05
BOJ’s rate-hike dilemma amid global trade uncertainty - Current policy landscape,The Economic Times,The Bank of Japan recently chose to keep its interest rate steady at 0.5%. Governor Kazuo Ueda acknowledged that the timeline for underlying inflation to...,5 May 2025,2025-05-05
BOJ halves GDP growth estimate under shadow of Trump’s tariffs,朝日新聞,The Bank of Japan slashed its growth projection for the country by half and kept interest rates unchanged as the economy faces growing uncertainties from US...,1 May 2025,2025-05-01
BOJ governor keeps rate hike in play but stresses 'high uncertainty',Nikkei Asia,TOKYO -- Bank of Japan Gov. Kazuo Ueda on Thursday signaled that the central bank is still on a path to raise rates despite extreme uncertainty from U.,1 May 2025,2025-05-01
"Bank of Japan keeps rates steady, cuts growth forecasts on US tariff hit",The Business Times,"[TOKYO] The Bank of Japan (BOJ) kept interest rates steady and sharply cut its growth forecasts on Thursday (May 1), suggesting uncertainty surrounding US...",1 May 2025,2025-05-01
Bank of Japan strikes unexpectedly dovish tone in May,FocusEconomics,"The Bank of Japan (BOJ) decided to keep its policy rate at 0.50%, marking a continued pause in the hiking cycle from subzero rates that began just over a year...",1 May 2025,2025-05-01
"Bank of Japan holds rates, lowers growth forecasts",Al Arabiya English,"The Bank of Japan on Thursday left its key interest rate unchanged but revised down its growth forecasts, warning that US trade tariffs are fueling.",1 May 2025,2025-05-01
BOJ maintains rate hike path despite uncertainty around U.S. tariffs,Kyodo News Plus,Bank of Japan chief Kazuo Ueda said Thursday that the central bank remains on track to pursue additional interest rate hikes despite economic uncertainty...,1 May 2025,2025-05-01
Bank of Japan Pushes Back Inflation Target Due to Trade War,Bloomberg.com,Governor Kazuo Ueda's board voted unanimously to maintain the central bank's policy rate at 0.5% at the end of the two-day gathering.,1 May 2025,2025-05-01
