headline,source,intro,date
Rising Japanese Government Bond Yields,TradingView,"IntroductionThe Japanese economy, long known for its extremely loose monetary policy, is finally moving toward normalization, a shift that is reshaping the...",1 month ago
"Bank of Japan’s Key Rate Is Below Neutral, Says Gov. Kazuo Ueda",The Wall Street Journal,"Meanwhile, Bank of England Gov. Andrew Bailey says that the 'direction of interest rates continues to be downwards'",3 weeks ago
Japan’s Business Sentiment Beats Consensus Despite Tariffs,Bloomberg,"Confidence among Japan's large manufacturers edged up in June, reflecting resilience in the face of the escalating US tariff campaign.",4 weeks ago
Rising Japanese Government Bond Yields,TradingView,"IntroductionThe Japanese economy, long known for its extremely loose monetary policy, is finally moving toward normalization, a shift that is reshaping the...",1 month ago
"Bank of Japan board divided over rate pause and inflation risks, June summary shows",The Business Times,[TOKYO] Some Bank of Japan (BBOJ) policymakers called for keeping interest rates steady for the time being due to uncertainty over the impact of US tariffs...,1 month ago
BOJ may act to counter high prices despite uncertainty: board member,毎日新聞,"TOKYO (Kyodo) -- The Bank of Japan may further raise interest rates to counter the risk of elevated prices, despite the uncertainty created by U.S. ta.",1 month ago
"Japan's inflation has been above target for over 3 years, but where is the BOJ?",CNBC,"Major central banks hiked their policy rates in the face of surging inflation, but the Bank of Japan has been an outlier. Food inflation, especially rice...",1 month ago
Bank of Japan rate increase this year is more likely than not,Financial Times,"Since our May scenario, the Bank of Japan held the policy rate at the current level of 0.5 per cent at its most recent meeting in June.",1 month ago
Most Hawkish BOJ Member Flags Rate Hike Risk as Japan Inflation Gains,Bloomberg,The Bank of Japan's most hawkish member said it may be necessary to raise interest rates should inflation risks rise even if economic uncertainty lingers.,1 month ago
Charting the Global Economy: Key Central Banks Hold on Rates,Bloomberg,"Central bankers in the US, UK and Japan held the line on interest rates this week as officials attempt to gauge the impact of tariffs, uncertainty about...",1 month ago
"Japan's core inflation hits two-year high, keeps rate-hike bets alive",The Edge Malaysia,"Japan's core inflation hit a more than two-year high in May and exceeded the central bank's 2% target for well over three years, keeping it under pressure to...",1 month ago
"Japan core inflation hits 2-year high, keeps rate-hike bets alive",Reuters,"Japan's core inflation hit a more than two-year high in May, exceeding the central bank's 2% target for well over three years, keeping it under pressure to...",1 month ago
"Slow rate hikes could cause wage-price spiral, Bank of Japan paper says",The Business Times,"[TOKYO] Hiking interest rates only gradually as raw material costs rise could heighten the risk of an upward spiral in wages and consumer prices, the Bank...",1 month ago
"BOJ board agreed to keep rate hike path, some saw need for pause, May minutes show",Reuters,"Bank of Japan policymakers agreed on the need to keep raising still-low interest rates, but some saw the need to pause for the time being due to uncertainty...",1 month ago
Japan’s government bonds: this time it won’t end well,The Economist,"FOR YEARS Japan was a reassuring example for governments. Even as its net public debt peaked at 162% of GDP in 2020, it suffered no budget crisis.",1 month ago
"Bank of Japan's gloomy projections suggest no rate hike this year, ex-top economist says",The Edge Malaysia,"The Bank of Japan (BOJ) is likely to hold off raising interest rates this year unless a dramatic, positive turn of events in US tariffs allows it to overhaul...",1 month ago
Bank of Japan keeps rate unchanged,Xinhua,The Bank of Japan (BOJ) said on Tuesday that it will reduce government bond purchases at a slower pace starting from April 2026 while leaving the short-term...,1 month ago
BOJ to ease pace of bond-buying cuts amid trade uncertainties,Kyodo News Plus,"The Bank of Japan decided Tuesday to slow the pace of its government bond-buying reduction beyond next year while keeping interest rates unchanged,...",1 month ago
"Bank of Japan Stands Pat on Rates, Plans to Slow Bond-Buying Tapering After April 2026",The Wall Street Journal,The Bank of Japan decided to stick to its plan to reduce purchases of Japanese government bonds by 400 billion yen each quarter until March 2026.,1 month ago
EUR/JPY holds position near 167.50 after BoJ interest rate decision,FXStreet,The currency pair holds ground after the Bank of Japan (BoJ) decided to keep the short-term interest rate target unchanged in the range of 0.4%- 0.5% in June.,1 month ago
BOJ Keeps Interest Rate Target Unchanged at around 0.5 ％,The Japan News,The Bank of Japan decided to hold its interest rate target steady at a two-day monetary policy meeting that ended on Tuesday.,1 month ago
"Bank of Japan Stands Pat on Rates, Plans to Slow Bond-Buying Tapering After April 2026",The Wall Street Journal,The Bank of Japan decided to stick to its plan to reduce purchases of Japanese government bonds by 400 billion yen each quarter until March 2026.,1 month ago
Bank of Japan holds interest rate at 0.5%,Capital Brief,"The Bank of Japan has kept the cash rate steady at 0.5%, meeting market expectations, and announced it would slow the pace of its cutback on bond-buying after...",1 month ago
"Bank of Japan maintains interest rates, slows bond tapering plan for next year",The Globe and Mail,"In a widely expected move, Japan's central bank maintained short-term interest rates at 0.5 per cent.",1 month ago
"Bank of Japan holds rates, says to slow bond purchase taper",Inquirer.net,The Bank of Japan kept interest rates unchanged Tuesday and said it would taper its purchase of government bonds at a slower pace.,1 month ago
Yen slides ahead of Bank of Japan policy decision,France 24,"The yen fell against the dollar ahead of a Bank of Japan decision Tuesday, with officials expected to hold interest rates steady but tweak their bond...",1 month ago
"BOJ keeps rates steady, slows bond taper, what it means for Japan economy?",WION,"The Bank of Japan (BOJ) is slowing its balance sheet drawdown, maintaining interest rates at 0.5% and reducing Japanese Government Bond (JGB) purchases.",1 month ago
Bank of Japan leaves rates unchanged; slows bond sales,FocusEconomics,"The Bank of Japan (BOJ) decided to keep its policy rate at 0.50%, extending the pause in its hiking cycle from subzero rates that began just over a year ago.",1 month ago
Yen under pressure following BOJ decision,Economies.com,"The Bank of Japan voted to hold interest rates unchanged at 0.5% at this week's meeting, already the highest since 2008 as expected by most analysts.",1 month ago
Bank of Japan to consider slower bond taper as fresh global risks emerge,The Business Times,[TOKYO] The Bank of Japan (BOJ) will consider slowing reductions in its bond purchases next year under a quantitative tightening (QT) plan due on Tuesday...,1 month ago
Bank of Japan keeps interest rates steady,RTE.ie,"In today's widely expected move, the Bank of Japan maintained short-term interest rates at 0.5% by a unanimous vote at its two-day policy meeting that ended...",1 month ago
Bank of Japan to consider slower bond taper as fresh global risks emerge,The Business Times,[TOKYO] The Bank of Japan (BOJ) will consider slowing reductions in its bond purchases next year under a quantitative tightening (QT) plan due on Tuesday...,1 month ago
EUR/JPY holds position near 167.50 after BoJ interest rate decision,FXStreet,The currency pair holds ground after the Bank of Japan (BoJ) decided to keep the short-term interest rate target unchanged in the range of 0.4%- 0.5% in June.,1 month ago
Japanese Shares Rise As Bank Of Japan Holds Steady,Finimize,Nikkei 225 climbs with the Bank of Japan maintaining interest rates amid global uncertainties.,1 month ago
BoJ stands pat on interest rate; Tokyo and Washington fail to reach trade deal,MSN,"The Bank of Japan ((BoJ)) kept its key short-term interest rate unchanged at 0.5% during its June 2025 meeting, maintaining the highest level since 2008 and...",1 month ago
Investors react to BOJ decision to stand pat on interest rates,MSN,The Bank of Japan kept its interest rates steady on Tuesday and said it would slow the pace of reduction in its bond purchases next year.,1 month ago
"BOJ leaves interest rates unchanged, to slow bond tapering from 2026",Investing.com,"The Bank of Japan left interest rates unchanged as widely expected on Tuesday, and stated that it will reduce the pace at which it is tapering its monthly bond...",1 month ago
Bank of Japan to weigh slowdown in bond buying cuts after volatility rises,The Business Times,[TOKYO] The Bank of Japan (BOJ) is set to consider whether to taper its bond purchases at a slower pace while also leaving its benchmark interest rate...,1 month ago
All three countries are expected to freeze their key interest rates on trade pressure and geopolitic..,매일경제,"According to the financial investment industry on the 16th, the Bank of Japan (BOJ) will hold a financial policy decision meeting on the 17th to determine...",1 month ago
USD/JPY steady as traders eye BoJ interest rate decision,FXStreet,The Japanese Yen (JPY) is treading water against the US Dollar (USD) on Monday as traders sit on the sidelines ahead of the Bank of Japan's (BoJ) policy...,1 month ago
Bank of Japan to slow exit from bond market purchases,Financial Times,Bank of Japan governor Kazuo Ueda said that tapering the central bank's bond purchases too quickly 'could have an unexpected impact on market stability',1 month ago
Investors react to BOJ decision to stand pat on interest rates,MSN,The Bank of Japan kept its interest rates steady on Tuesday and said it would slow the pace of reduction in its bond purchases next year.,1 month ago
BOJ keeps rate target unchanged at around 0.5% | NHK WORLD-JAPAN News,NHK,The Bank of Japan has decided to keep its benchmark interest-rate unchanged. The central bank target of around 0.5 percent for short-term rates will remain in...,1 month ago
"Economic Calendar for 16 - 20 June 2025 with Inflation, Trade, Interest Rates, and US Jobs Data",kaohoon international,"The following table is important global economic data from 16 – 20 June 2025 as traders and investors are keeping an eye on inflation, trade, interest rates,...",1 month ago
"BOJ leaves interest rates unchanged, to slow bond tapering from 2026",Investing.com,"The Bank of Japan left interest rates unchanged as widely expected on Tuesday, and stated that it will reduce the pace at which it is tapering its monthly bond...",1 month ago
Bank of Japan to weigh slowdown in bond buying cuts after volatility rises,The Business Times,[TOKYO] The Bank of Japan (BOJ) is set to consider whether to taper its bond purchases at a slower pace while also leaving its benchmark interest rate...,1 month ago
Investors react to BOJ decision to stand pat on interest rates,Reuters,"The Bank of Japan kept its interest rates steady on Tuesday and said it would slow the pace of reduction in its bond purchases next year, signalling a...",1 month ago
"MUFG BOJ Preview - Bank set to hold rates steady, may fine-tune bond tapering pace",investingLive,"MUFG expects the Bank of Japan to keep its policy rate unchanged at 0.5% at its June monetary policy meeting, citing a highly uncertain economic outlook.",1 month ago
USD/JPY steady as traders eye BoJ interest rate decision,FXStreet,The Japanese Yen (JPY) is treading water against the US Dollar (USD) on Monday as traders sit on the sidelines ahead of the Bank of Japan's (BoJ) policy...,1 month ago
Bank of Japan to slow exit from bond market purchases,Financial Times,Bank of Japan governor Kazuo Ueda said that tapering the central bank's bond purchases too quickly 'could have an unexpected impact on market stability',1 month ago
All three countries are expected to freeze their key interest rates on trade pressure and geopolitic..,매일경제,"According to the financial investment industry on the 16th, the Bank of Japan (BOJ) will hold a financial policy decision meeting on the 17th to determine...",1 month ago
US Treasury says Bank of Japan should continue to tighten policy,The Business Times,"[TOKYO] The Bank of Japan should continue to proceed with monetary tightening, which would support a “normalisation of the yen's weakness” and rebalancing...",1 month ago
US Treasury urges Bank of Japan to hike interest rates to bolster yen,Latest news from Azerbaijan,The US Treasury has called on the Bank of Japan to raise interest rates in an effort to strengthen the Japanese yen.,1 month ago
US Treasury Calls on BOJ to Hike Rates to Correct Yen Weakness,Bloomberg.com,"The US Treasury called on the Bank of Japan to raise interest rates to strengthen the yen, stepping much deeper into policy recommendations for Tokyo than...",1 month ago
Any respite for Japan’s bonds is likely to be short-term,Financial Times,The writer is the Apac developed markets rates strategist at Société Générale. The attention of global investors is turning more to Japanese bond markets...,1 month ago
"Japanese yen hits 5-mth high on haven demand, BOJ rate hike bets",Investing.com,The Japanese yen hit its strongest level in five months on Friday as increased safe haven demand and speculation over interest rate hikes by the Bank of Japan...,1 month ago
BOJ braces for higher interest rates with provisions boost,Nikkei Asia,"The Bank of Japan has set aside the maximum provisions for losses on bond transactions, in a sign of how the central bank is preparing for rising interest...",1 month ago
Bank of Japan sets aside maximum provision of losses for bond transactions,The Business Times,"The moves come as the Japanese central bank faces mounting pressure to keep hiking borrowing costs, after it kept short-term interest rates steady in its...",1 month ago
"Core inflation in Japan capital hits 2-year high, keeps rate hike chance alive",Reuters,"Core inflation in Japan's capital hit a more than two-year high on persistent rises in food costs, data showed on Friday, keeping the central bank under...",29 May 2025
Fiscal Headaches Mount Despite End of Negative Interest Rates,nippon.com,"A year has passed since the March 2024 decision by the Bank of Japan to end its negative interest rate policy. As Japan returns to positive rate territory,...",29 May 2025
Japan's government bond trust erodes due to rising liabilities and interest rates - CHOSUNBIZ,Chosunbiz,Concerns about Japan's financial stability deepen as governmental trust falters amid rising debts and rates. By. Albert Jinwoo You. Published 2025.05.29.,29 May 2025
PIMCO flags bond market shift in Japan,Insurance Business America,"PIMCO has highlighted a significant shift in Japan's bond market, urging global institutional investors to reconsider their duration strategies.",1 month ago
Bank of Japan should continue to tighten policy: US,Taipei Times,WEAK YEN: The Japanese central bank ended its massive monetary stimulus last year and in January it raised its short-term interest rates to 0.5 percent.,1 month ago
Yen Anticipated to Appreciate Against the U.S. Dollar by Year-End - News and Statistics,IndexBox,"The yen is projected to appreciate against the dollar by year-end, driven by interest rate dynamics between Japan and the U.S., and potential BOJ rate...",1 month ago
US Treasury says Bank of Japan should continue to tighten policy,The Business Times,"[TOKYO] The Bank of Japan should continue to proceed with monetary tightening, which would support a “normalisation of the yen's weakness” and rebalancing...",1 month ago
Japan's ex-top FX diplomat expects yen to rise near 140 by year-end,Reuters,"A narrowing U.S.-Japan interest rate gap, rather than any effort by President Donald Trump to weaken the dollar, will likely lift the yen to around 135-140...",1 month ago
US Treasury Calls on BOJ to Hike Rates to Correct Yen Weakness,Bloomberg.com,"The US Treasury called on the Bank of Japan to raise interest rates to strengthen the yen, stepping much deeper into policy recommendations for Tokyo than...",1 month ago
Any respite for Japan’s bonds is likely to be short-term,Financial Times,The writer is the Apac developed markets rates strategist at Société Générale. The attention of global investors is turning more to Japanese bond markets...,1 month ago
"America’s biggest lender closes its wallet. Investors, home buyers will feel it.",MarketWatch,Prepare for higher U.S. interest rates if Japan cuts its U.S. Treasury bond holdings. But there could be a silver lining.,1 month ago
"Japanese yen hits 5-mth high on haven demand, BOJ rate hike bets",Investing.com,The Japanese yen hit its strongest level in five months on Friday as increased safe haven demand and speculation over interest rate hikes by the Bank of Japan...,1 month ago
BOJ braces for higher interest rates with provisions boost,Nikkei Asia,"The Bank of Japan has set aside the maximum provisions for losses on bond transactions, in a sign of how the central bank is preparing for rising interest...",1 month ago
"Japan’s Debt, Now Twice the Size of Its Economy, Forces Hard Choices",The New York Times,Japan's government faces pressure to curtail debt-fueled spending that some argue has staved off populist waves.,28 May 2025
"Kazuo Ueda, president of the Bank of Japan (BOJ), said on the 27th, ""Japan's inflation rate is curre..",매일경제,"Kazuo Ueda, president of the Bank of Japan (BOJ), said on the 27th, ""Japan's inflation rate is currently 1.5 to 2.0%, the highest level in the past 30 years...",27 May 2025
Yen rises as Ueda indicates BOJ is still eyeing more rate hikes,The Japan Times,Bank of Japan Gov. Kazuo Ueda has given the yen a boost by clearly indicating his intention to continue raising the benchmark interest rate if the economy...,27 May 2025
"As bond investors push U.S. Treasury yields higher, the UK and Japan get similar treatment",Marketplace.org,"Bond yields were down Tuesday, but over the last few months they've been rising. Bond investors have been demanding higher yields, because they're concerned...",27 May 2025
"Bank of Japan’s Rate-Hike Window Narrowing, Ex-Board Member Says",MSN,"If the Bank of Japan wants to raise interest rates further, it will likely need to do so this year before the window of opportunity closes, a former board...",24 May 2025
Japan and U.S. reaffirm commitment to letting markets set currency rates,The Japan Times,Finance Minister Katsunobu Kato and U.S. Treasury Secretary Scott Bessent have made a point of not discussing a target yen-dollar rate.,22 May 2025
Bank of Japan policymaker rules out intervention to stem bond yield spike,The Business Times,"The central bank must pause its rate hikes for the time being until there is more clarity on the impact of US tariffs, he adds. play icon.",22 May 2025
"Bank of Japan’s Rate-Hike Window Narrowing, Ex-Board Member Says",The Wall Street Journal,"If the Bank of Japan wants to raise interest rates further, it will likely need to do so this year before the window of opportunity closes, says Sayuri Shirai.",21 May 2025
Japan's Bond Market Crisis: Global Implications Of The Yield Surge,IG,"Japan's government bond market is experiencing its most significant upheaval in decades, with potential ripple effects across global financial markets as the...",21 May 2025
The interest rate on Japan's long-term government bonds is soaring to an all-time high. Ahead of the..,매일경제,"Interest rates on 20-year government bonds in the Japanese bond market once rose to 2.58 percent per annum, the highest in 25 years since October 2000.",21 May 2025
Japan's top banks set to report record profits but face tariff stress test,Nikkei Asia,"TOKYO -- Japan's top three banks are set to report combined net profit of roughly 3.9 trillion yen ($26.3 billion) for the year ended March, a 25% gai.",13 May 2025
Bank of Japan Maintains Stance on Rate Hike Due to Wage and Price Pressures,bloomingbit,The Bank of Japan (BOJ) announced on the 13th (local time) that it will maintain its stance on raising interest rates as Japan's wages and prices are expected...,13 May 2025
"Bank of Japan upbeat on wages despite US tariffs, sees scope to resume rate hikes",The Business Times,"It will continue to raise interest rates if the economy and prices improve after a period of stagnation, the bank's deputy governor says. play icon.",13 May 2025
"Bank of Japan decides to raise interest rates, even amid Trump uncertainty",Cryptopolitan,The Bank of Japan is going forward with rate hikes even though President Donald Trump's trade war plans are still up in the air.,13 May 2025
"Japan's wage growth in March slows down and exceeds expectations, the Bank of Japan may adopt a more cautious approach to interest rate hikes.",富途牛牛,"InMarch, Japan's nominal wage growth slowed more than expected, providing support for the Bank of Japan to cautiously consider interest rate hikes amid...",8 May 2025
Bank of Japan split over how US policies impact rate hikes: March minutes,The Business Times,[TOKYO] Bank of Japan policymakers were divided in March over how soon the central bank should raise interest rates again as uncertainty stemming from US...,8 May 2025
Charted: Real Interest Rates by Country in 2025,Visual Capitalist,"This infographic shows real interest rates for 16 major economies in 2025, highlighting the current state of monetary policies.",6 May 2025
Bank of Japan sees window for rate hikes narrowing but not closed yet,The Business Times,"[TOKYO] The Bank of Japan's (BOJ's) rate-hike cycle is facing its biggest test since Governor Kazuo Ueda took the helm two years ago, with US President...",5 May 2025
Bank of Japan cuts growth forecasts on US tariff hit,RTE.ie,"The Bank of Japan kept interest rates steady and sharply cut its growth forecasts today, suggesting uncertainty surrounding US tariffs and the hit to exports...",1 May 2025
"Bank of Japan (BOJ) maintains rates at 0.5 percent, revises growth forecasts for 2025 and 2026",Economy Middle East,"The Bank of Japan (BOJ) announced that it would keep its short-term interest rates steady at 0.5 percent, a decision made unanimously by its board members.",1 May 2025
"Two-thirds of Japanese firms want BOJ to pause rate hikes amid Trump tariffs, Reuters poll shows",Reuters,Nearly two-thirds of Japanese firms want the Bank of Japan to temporarily pause interest rate hikes as U.S. President Donald Trump's tariff policies raise...,21 May 2025
The interest rate on Japan's long-term government bonds is soaring to an all-time high. Ahead of the..,매일경제,"Interest rates on 20-year government bonds in the Japanese bond market once rose to 2.58 percent per annum, the highest in 25 years since October 2000.",21 May 2025
"What's fueling Japanese, US bond yields? Is this rise a worry for you? EXPLAINED",Mint,"Global bond markets face significant shifts as Japanese and US Treasury yields rise sharply, indicating inflation and fiscal pressures. Japan's 30-year...",21 May 2025
Project Finance Laws and Regulations Report 2025 Japan,ICLG.com,"This article dives into project finance laws in Japan, discussing security, bankruptcy and restructuring, force majeure, jurisdiction, waiver of immunity...",20 May 2025
Bank of Japan on hold until tariff and trade outlook becomes clearer,Financial Times,"The Bank of Japan held a policy meeting at the start of May, which showed little urgency to raise interest rates from their current level of 0.5 per cent.",20 May 2025
Bank of Japan may hike rates if inflation nears 2%: official,Tech in Asia,The central bank may raise interest rates if economic growth increases and inflation approaches the 2% target.,19 May 2025
"BOJ to keep hiking rates if economy rebounds from tariff hit, deputy governor says",Reuters,"The Bank of Japan will continue to raise interest rates if the economy rebounds from an expected hit from higher U.S. tariffs, the central bank's deputy...",19 May 2025
Japan's Ishiba rules out tax cuts funded by debt issuance,Reuters,"Japan will not resort to tax cuts funded by additional debt issuance, Prime Minister Shigeru Ishiba said on Monday, pushing back against political pressure...",18 May 2025
Japan PM Ishiba Rebuffs Tax Cut Demands With Greek Debt Comparison,Bloomberg.com,Japanese Prime Minister Shigeru Ishiba rebuffed calls for tax cuts saying that the nation's financial conditions are worse than Greece's.,18 May 2025
Japan's 3 megabanks report record net profit for fiscal 2024 | Nippon TV NEWS 24 JAPAN,日本テレビ,Japan's three megabanks each reported a record net profit for fiscal 2024 that ended in March this year as their core banking business performed well.,16 May 2025
Tariffs prompt Bank of Japan to lower growth forecasts,NST Online,"TOKYO: The Bank of Japan revised down its growth forecasts and held interest rates steady on Thursday, warning that trade tariffs are fuelling global...",1 May 2025
Bank of Japan Keeps Rates Unchanged as Tariffs Cloud Outlook,Bloomberg,The Bank of Japan kept its benchmark interest rate unchanged amid widespread market expectations that Governor Kazuo Ueda wouldn't raise rates given the...,30 Apr 2025
BoJ Governor Ueda sheds light on policy path after maintaining interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda is addressing a press conference to explain the reasons behind holding the key interest rate at 0.50% on Thursday.,30 Apr 2025
Japanese bank outperformance has a bit further to go,Capital Economics,Japanese banks are the one sector benefitting from the BoJ's tightening cycle as higher interest rates lift their income by more than their expenses.,30 Apr 2025
Trump’s ‘Unprecedented’ Tariffs Lead Japan to Slash Its Growth Forecast,The New York Times,"The Bank of Japan predicted growth of just 0.5 percent, cutting its previous forecast in half, and decided against another hike in interest rates.",30 Apr 2025
Bank of Japan slashes growth forecasts on tariff fears,Financial Times,Central bank holds interest rates at 0.5% but highlights 'extreme uncertainty' around trade.,30 Apr 2025
Bank of Japan to hit pause on rate-hike path as economic risks mount,The Business Times,"[TOKYO] The Bank of Japan (BOJ) is widely expected to signal a pause in policy normalisation this week as US tariffs heighten global uncertainty,...",28 Apr 2025
BOJ to Hit Pause on Rate-Hike Path as Economic Risks Mount,Bloomberg,The Bank of Japan is expected to keep its benchmark rate at 0.5% and signal a pause in policy normalization due to US tariffs and global uncertainty. The...,27 Apr 2025
"BOJ to keep policy rate unchanged, revise growth forecast downward",Nikkei Asia,"TOKYO -- The Bank of Japan is expected to keep the policy interest rate at 0.5% at monetary policy meetings this week, as an unpredictable trade polic.",27 Apr 2025
Yen and BOJ's rate policy may remain focus in Japan-U.S. trade talks,The Japan Times,A closer look at officials' descriptions of the meeting suggests currencies and the Bank of Japan's interest rate policy may remain key factors in broader...,26 Apr 2025
BoJ Governor Ueda sheds light on policy path after maintaining interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda is addressing a press conference to explain the reasons behind holding the key interest rate at 0.50% on Thursday.,30 Apr 2025
Bank of Japan to hit pause on rate-hike path as economic risks mount,The Business Times,"[TOKYO] The Bank of Japan (BOJ) is widely expected to signal a pause in policy normalisation this week as US tariffs heighten global uncertainty,...",28 Apr 2025
BOJ to Hit Pause on Rate-Hike Path as Economic Risks Mount,Bloomberg,The Bank of Japan is expected to keep its benchmark rate at 0.5% and signal a pause in policy normalization due to US tariffs and global uncertainty. The...,27 Apr 2025
"BOJ to keep policy rate unchanged, revise growth forecast downward",Nikkei Asia,"TOKYO -- The Bank of Japan is expected to keep the policy interest rate at 0.5% at monetary policy meetings this week, as an unpredictable trade polic.",27 Apr 2025
"ANALYSIS-Yen, BOJ's rate policy may remain focus in Japan-US trade talks",朝日新聞,A closer look at officials' descriptions of the meeting suggests currencies and the Bank of Japan's interest rate policy may remain key factors in broader...,26 Apr 2025
Yen and BOJ's rate policy may remain focus in Japan-U.S. trade talks,The Japan Times,A closer look at officials' descriptions of the meeting suggests currencies and the Bank of Japan's interest rate policy may remain key factors in broader...,26 Apr 2025
Japan: Inflation rate from 1980 to 2030,Statista,"In 2024, Japan had an average inflation rate estimated at 2.74 percent, marking the highest rate of inflation in Japan in almost a decade.",25 Apr 2025
BOJ Watchers Expect Delay in Rate Hikes With Lower Terminal Rate,Bloomberg,Bank of Japan watchers forecast a delay in interest-rate hikes and a lower level at the end of the cycle after US President Donald Trump's tariff measures...,23 Apr 2025
Swaps Suggest Foreigner Bets Japan Longer Yield Rebound,Bloomberg,A swap market measure is signaling growing expectations among foreign investors that Japan's super-long bond yields will head higher again.,23 Apr 2025
Bank of Japan expected to maintain interest rate,Dimsum Daily,A recent Reuters survey of economists indicates that the Bank of Japan (BOJ) will likely keep its key interest rate unchanged through June.,23 Apr 2025
Japan: Inflation rate from 1980 to 2030,Statista,"In 2024, Japan had an average inflation rate estimated at 2.74 percent, marking the highest rate of inflation in Japan in almost a decade.",25 Apr 2025
Swaps Suggest Foreigner Bets Japan Longer Yield Rebound,Bloomberg,A swap market measure is signaling growing expectations among foreign investors that Japan's super-long bond yields will head higher again.,23 Apr 2025
Bank of Japan expected to maintain interest rate,Dimsum Daily,A recent Reuters survey of economists indicates that the Bank of Japan (BOJ) will likely keep its key interest rate unchanged through June.,23 Apr 2025
BOJ Watchers Expect Delay in Rate Hikes With Lower Terminal Rate,Bloomberg,Bank of Japan watchers forecast a delay in interest-rate hikes and a lower level at the end of the cycle after US President Donald Trump's tariff measures...,23 Apr 2025
Bank of Japan Holds Rates at 0.5% amid Global Uncertainty,IR Insider,"The Bank of Japan (BOJ) held its short-term interest rate at 0.5% in its March 19 meeting. The decision was widely expected, reflecting the central bank's...",17 Apr 2025
Hedge funds and asset managers boost bullish yen bets amid tariffs,The Japan Times,Yen optimism is spreading among hedge funds and asset managers as US tariffs drive haven demand at a time when traders are reassessing the Bank of Japan's...,14 Apr 2025
"BOJ May Mull Halting Rate Hikes If Yen Nears 130, Goldman Says",Bloomberg.com,"The Bank of Japan may consider pausing its interest-rate hikes if the yen strengthens toward 130 per US dollar and its outlook for sustained inflation dims,...",13 Apr 2025
"Bank of Japan to cut interest rates today. What would that do for Bitcoin, bonds, stocks, and gold?",Mitrade,"In July 2024, the bank said it would cut bond buying by ¥400 billion every quarter, which would lower total holdings by about 7% to 8% by early 2026. These cuts...",11 Apr 2025
"Japan household inflation expectations rise, keep BOJ rate hike view alive",CNA,"TOKYO: Japanese households' inflation expectations heightened in the three months to March, a Bank of Japan survey showed on Friday (Apr 11),...",11 Apr 2025
Trump tariff talks may pressure BOJ to hike rates,Nikkei Asia,"TOKYO -- Planned talks between Japan and the U.S. about the ""reciprocal tariffs"" that have roiled markets could end up putting pressure on the Bank of.",9 Apr 2025
The world’s lowest interest rate no longer belongs to Japan,MarketWatch,Referenced Symbols ... The world's lowest interest rate is no longer in Japan but Switzerland after the Swiss National Bank cut rates by a quarter-point on...,20 Mar 2025
Bank of Japan leaves interest rates unchanged at 0.5 percent,Asia News Network,The Bank of Japan decided to leave policy interest rates unchanged at around 0.5% at its Monetary Policy Meeting on Wednesday.,20 Mar 2025
"Bank of Japan has to be careful in choosing when to raise interest rates, says professor","YouTube
 · CNBC International Live","Sayuri Shirai, professor at Keio University and former board member at the Bank of Japan, discusses the outlook for the central bank's monetary policy amid...",19 Mar 2025
Foreign visitors have been driving Japan’s economy. A stronger yen could reverse that trend,CNBC,"Inbound tourism contributed half of Japan's full-year GDP growth rate of 1.5% in 2023, and 0.4 percentage points to Japan's 0.1% annual GDP growth last year...",19 Mar 2025
Bank Of Japan Keeps Interest Rate Steady At 0.5%,Republic World,"The Bank of Japan or BOJ has decided to keep interest rates steady in an official announcement on Wednesday, as policymakers are spending more time deciding how...",19 Mar 2025
BoJ unanimously holds interest rates steady as Trump trade war forces caution,Investment Week,"The Bank of Japan held interest rates steady at 0.5%, opting for caution amid rising geopolitical tensions stemming from the US.",19 Mar 2025
"Japan’s on course for July rate hike, but risk of June increases",Oxford Economics,"The Bank of Japan (BoJ) kept its policy rate at 0.50% at Wednesday's meeting, as expected. Despite a marginally higher increase in pay than last year at the...",19 Mar 2025
Bank of Japan keeps interest rates steady as Trump risks loom,The Economic Times,Bank of Japan keeps interest rates steady as Trump risks loom ... The Bank of Japan maintains interest rates at 0.5% amid concerns over U.S. tariffs impacting...,19 Mar 2025
BoJ Governor Ueda addresses press conference after holding interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda explained the reasons behind maintaining the key interest rate at 0.50% during the March meeting in his press...,19 Mar 2025
Bitcoin Price Little Changed as Bank of Japan Keeps Interest Rate Steady,CoinDesk,"The bitcoin (BTC) price showed little reaction after the Bank of Japan (BOJ) held its benchmark interest rate unchanged at 0.5% on Wednesday, a decision that...",19 Mar 2025
Japan’s Business Sentiment Stays Positive as BOJ Mulls Hike Pace,Bloomberg,"Japan's large manufacturers remained relatively upbeat about business conditions, reflecting a degree of resilience that supports the case for the central...",31 Mar 2025
"Tokyo inflation exceeds forecasts, keeping BOJ on rate hike path",The Japan Times,"The cost of living in Tokyo rose more than anticipated from the previous month, keeping the Bank of Japan on track for further interest rate hikes.",28 Mar 2025
Exchange of Notes concerning Yen Loans for Six Projects in India,Embassy of Japan in India,"On March 27, Mr. ONO Keiichi, Ambassador of Japan to India, and Ms. Manisha Sinha, Additional Secretary, Department of Economic Affairs, Ministry of Finance...",28 Mar 2025
